Check,Category,Description,Xpath (EML),Level
resource.landingPage.present,Interoperable,Check that a resource landing page exists and is resolvable.,"/eml/dataset/distribution/online/url[@function=""information""]",REQUIRED
resource.license.present,Interoperable,Check that a resource license exists.,/eml/dataset/intellectualRights//text()[normalize-space()],REQUIRED
resource.methods.present,Interoperable,Check that a detailed methods section is present.,/eml/dataset/methods/methodStep/description//text()[normalize-space()],OPTIONAL
resource.publicationDate.present,Interoperable,Check that a publication date exists.,/eml/dataset/pubDate,OPTIONAL
resource.publicationDate.timeframe,Reusable,Publication date should not be in the future,/eml/dataset/pubDate,REQUIRED
resource.publisher.present,Reusable,Check that a publisher exists.,/eml/dataset/publisher/organizationName/text()[normalize-space()],REQUIRED
resource.publisherIdentifier.present,Reusable,Check that a resource publisher identifier exists.,/eml/dataset/publisher/userId/text()[normalize-space()],REQUIRED
resource.revisionDate.present,Reusable,Check that a revision or creation date exists.,/eml/*/maintenance/changeHistory/changeDate,OPTIONAL
resource.serviceLocation.present,Reusable,Check that a service location exists.,N/A,OPTIONAL
resource.serviceProvider.present,Reusable,Check that a service provider is present.,N/A,REQUIRED
resource.serviceType.present,Reusable,Check that a service type exists.,N/A,REQUIRED
resource.spatialExtent.present,Reusable,Check that at least one spatial extent exists.,/eml/*/coverage/geographicCoverage/boundingCoordinates,REQUIRED
resource.taxonomicExtent.present,Reusable,Check that a taxonomic extent exists.,/eml/*/coverage/taxonomicCoverage,REQUIRED
resource.temporalExtent.present,Reusable,Check that a temporal extent exists.,/eml/*/coverage/temporalCoverage,REQUIRED
resource.titleLength.sufficient,Reusable,Check that the resource title is greater than 7 words and less than 20.,/eml/dataset/title/text(),REQUIRED
resource.type.valid,Reusable,Check if the resource type is present and known.,"concat(/*/metadataScope/MD_MetadataScope/resourceScope/MD_ScopeCode/text()[normalize-space()],
           /*/hierarchyLevel/MD_ScopeCode/text()[normalize-space()],
           string(/resource/resourceType/@resourceTypeGeneral),
           name(/eml/dataset),
           name(/eml/citation),
           name(/eml/software),
           name(/eml/protocol))",REQUIRED
