Name,Category,Level,Description,Xpath (EML),
entity.checksum.present,Interoperable,REQUIRED,Check that an entity checksum and algorithm are present.,"/eml/dataset/*[self::dataTable|self::spatialRaster|self::spatialVector|self::storedProcedure|self::view|self::otherEntity]/physical/authentication
/eml/dataset/*[self::dataTable|self::spatialRaster|self::spatialVector|self::storedProcedure|self::view|self::otherEntity]/physical/authentication[@method]",
entity.format.present,Interoperable,REQUIRED,Check that each entity has a format specified.,/eml/dataset/*/physical/dataFormat,
entity.name.present,Interoperable,REQUIRED,Check that a name is specified for every entity.,/eml/dataset/*[self::dataTable|self::spatialRaster|self::spatialVector|self::storedProcedure|self::view|self::otherEntity]/entityName,
entity.attributeCoverageContentType.present,Interoperable,OPTIONAL,Check that a coverage content type exists.,N/A,
entity.attributeStorageType.present,Interoperable,OPTIONAL,Check that a storage type exits for each attribute.,/eml/dataset/*/attributeList/attribute/storageType,
entity.type.present,Interoperable,OPTIONAL,Check that an entity type exists.,"/eml/dataset/dataTable or
/eml/dataset/otherEntity or
/eml/dataset/spatialVector or
/eml/dataset/spatialRaster or
/eml/dataset/view",
resource.serviceType.present,Interoperable,OPTIONAL,Check that a service type exists.,N/A,
entity.attributeDomain.present,Reusable,REQUIRED,Check that an attribute domain is defined for each relevant attribute.,"/eml/dataset/*/attributeList/attribute//measurementScale/nominal/nonNumericDomain |
/eml/dataset/*/attributeList/attribute//measurementScale/ordinal/nonNumericDomain |
/eml/dataset/*/attributeList/attribute//measurementScale/interval/numericDomain |
/eml/dataset/*/attributeList/attribute//measurementScale/ratio/numericDomain |
/eml/dataset/*/attributeList/attribute//measurementScale/dateTime",
entity.attributeUnits.present,Reusable,REQUIRED,Check that units are defined for each attribute that should have them.,"/eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/*/text()[normalize-space()] |
/eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/*/text()[normalize-space()]",
entity.description.present,Reusable,REQUIRED,Check that a description is available for every entity.,/eml/dataset/*[self::dataTable|self::spatialRaster|self::spatialVector|self::storedProcedure|self::view|self::otherEntity]/entityDescription,
entity.format.nonproprietary,Reusable,REQUIRED,Check that all entities use non-propietary formats.,/eml/dataset/*/physical/dataFormat,
entity.qualityDescription.present,Reusable,REQUIRED,Check that a description of data quality practices and protocols used is present.,/eml/dataset/methods/methodStep/qualityControl/description,
provenance.processStepCode.present,Reusable,REQUIRED,Check that provenance process step software is specified.,/eml/*/methods/methodStep/software//text()[normalize-space()],
provenance.sourceEntity.present,Reusable,REQUIRED,Check if a lineage source entity is specified.,N/A,
provenance.trace.present,Reusable,REQUIRED,Check that provenance information is present.,"/eml/*/methods/methodStep/dataSource or
/eml/*/methods/methodStep/subStep/dataSource",
resource.license.present,Reusable,REQUIRED,Check that a resource license exists.,/eml/dataset/intellectualRights//text()[normalize-space()],
resource.methods.present,Reusable,REQUIRED,Check that a detailed methods section is present.,/eml/dataset/methods/methodStep/description//text()[normalize-space()],
entity.attributeMeasurementScale.present,Reusable,OPTIONAL,Check that an attribute measurement scale exists.,/eml/dataset/*/attributeList/attribute/measurementScale,
entity.attributePrecision.present,Reusable,OPTIONAL,Check that attributes have a measurement precision defined.,"/eml/dataset/*/attributeList/attribute/measurementScale/interval/precision |
/eml/dataset/*/attributeList/attribute/measurementScale/ratio/precision |
/eml/dataset/*/attributeList/attribute/measurementScale/dateTime/dateTimePrecision",
